Company,Username,City,State,Date,Rating,Review,Distance,Cost,Cost.per.Mile,Sqft.Moved
Ryder,James W,Ocala,FL,2018-04-01,5,"I'd use them again, no problem.",48.0,142.0,2.96,
Ryder,Jeanne M,Pittsburgh,PA,2017-11-02,5,they were fast and careful that nothing broke recommend them highly,25.0,1116.0,44.64,1000.0
Ryder,Dean G,Cary,NC,2017-04-21,4,"The truck was fine, but the training video beforehand was a little much. Would probably go with U-Haul next time to save on time spent at the rental location.",,,,
Ryder,Michael A,Azusa,CA,2016-10-27,5,Great company!,,,,
Ryder,Tracy F,Rochester,NY,2016-01-19,5,First time using and would use again.,2400.0,2400.0,1.0,3000.0
Ryder,Tracy F,Raleigh,NC,2016-01-19,5,"I used two 26' trucks. This was my first time, and I really liked them.",2400.0,2400.0,1.0,3000.0
Ryder,kerry g,Dallas,TX,2015-12-30,4,Truck ran fine,400.0,200.0,0.5,1000.0
Ryder,Christopher S,Beaverton,OR,2015-12-19,5,Perfect. Truck was ready when we arrived for pick up. No problems in 600 mile trip. Easy drop off.,600.0,3000.0,5.0,1200.0
Ryder,Patrick S,Philadelphia,PA,2015-09-07,5,Ryder truck was great they had the truck where and when i ordered it,200.0,500.0,2.5,4000.0
Ryder,Tracy M,Rochester,MI,2015-07-12,5,"nice truck, smells like cigarette smoke, but has an airconditioner, cd player, and power lift gate.",420.0,,,
Ryder,James W,Crowley,TX,2015-04-19,5,The truck performed as expected.,,650.0,,2360.0
Ryder,Lance B,Carmel,IN,2015-01-28,5,"The agent in their Baltimore, MD location allowed me to pick up the Cargo Van over the weekend following Christmas after they were closed and did not begin billing me until 8AM Monday morning, the start of the contract. The $600 was for a one-way ($250 extra charge) rental for two days from Baltimore to Carmel, IN (Indianapolis)",600.0,600.0,1.0,200.0
Ryder,Travis P,Richmond Hill,GA,2014-07-24,5,Great job. Use again,1100.0,1700.0,1.55,1500.0
Ryder,Sandy H,Ladys Island,SC,2014-06-19,5,Excellent work! friendly and respectful.,350.0,400.0,1.14,1600.0
Ryder,Nicole T,Champaign,IL,2014-05-28,4,It was Ok,20.0,,,3000.0
Ryder,Edwin T,Charlotte,NC,2014-04-27,4,"Truck size was good (just had too much to move). Truck was clean and easy to use. Booking was great (accommodating when I had to increase the size). Pick-up was slightly problematic due to over-booking and late returns, but they were apologetic and understanding. Drop off was good. Chose them for the lift gate and truck sizes. For big moves, I would definitely use them again. For smaller moves, I would probably go with someone else due to no ""One Way Trip"" options.",,,,
Enterprise,Steve R,Rochester,NY,2017-08-15,4,"I used a Chevy Express Cargo Van, which was just large enough for what I was moving, and is very easy to drive.",350.0,200.0,0.57,800.0
Enterprise,Aaron R,Dallas,TX,2017-06-23,4,they were great,50.0,200.0,4.0,1500.0
Enterprise,Marty G,Cannon Beach,OR,2017-05-08,5,"Enterprise rented me a 26ft truck, with only 7k miles. IT was tricked out with the easy glide braking, etc. It had electric loading gate as well as a ramp, so you could chose how to load. They called the day before and said I could pickup the truck a day early no charge which helped with my logistics, including no Saturday morning line at the rental company. Was able to drop off at rental site after finishing though they were closed.",150.0,280.0,1.87,3000.0
Enterprise,Barry M,Romeoville,IL,2017-04-18,5,"Rented a 16ft box truck with tail lift and a cargo van. Equipment was newer and a lot more affordable than the competition, would definitely be using them again",50.0,120.0,2.4,
Enterprise,Craig F,Clayton,NC,2017-01-03,5,no issues with rental,1200.0,900.0,0.75,1200.0
Enterprise,frank m,Pasadena,MD,2016-09-30,5,Very courteous - accommodating. Would recommend / use again,500.0,300.0,0.6,250.0
Enterprise,Janet W,Davis,CA,2016-07-04,5,"The cargo van was clean, well kept. The staff very nice.",400.0,200.0,0.5,800.0
Enterprise,Viktor S,Dauphin,PA,2016-07-01,5,Truck was clean and had a lift gate and they had moving blankets and tie downs available. Easy to drop off after hours.,80.0,155.0,1.94,2500.0
Enterprise,Renee K,Raleigh,NC,2016-02-04,5,Great rate for a new truck!!,350.0,228.0,0.65,800.0
Enterprise,Thomas P,Charleston,SC,2015-11-13,5,Really helped out by getting me the right truck.,800.0,400.0,0.5,400.0
Enterprise,Kathy Z,New York,NY,2015-09-08,5,"Between our minivan and the cargo van, we were able to fit our daughter's bedroom and kitchen stuff for the move back home.",250.0,140.0,0.56,200.0
Enterprise,Juan M,Chesapeake,VA,2015-08-20,5,Good truck. Customer service needs improvement.,800.0,1300.0,1.63,800.0
Enterprise,Bonnie M,Richmond Hill,GA,2015-06-11,5,Huge truck with lift.,,,,2400.0
Enterprise,Marianne D,Fallbrook,CA,2014-08-11,5,I arranged for the van myself and met the helpers at the moving site.,25.0,50.0,2.0,200.0
Enterprise,Meghan H,Winter Park,FL,2014-08-03,5,Flexible in working with my schedule.,150.0,185.0,1.23,
Enterprise,Meghan H,Delray Beach,FL,2014-08-02,5,Very helpful and flexible with my schedule.,150.0,185.0,1.23,
Enterprise,Camila G,Virginia Beach,VA,2014-04-28,5,26' truck! Great size and rate!,,,,
Budget,Austin A,Huntsville,AL,2018-08-01,3,Reservations were easily done online and everything was ready when I went for pickup.,110.0,150.0,1.36,2000.0
Budget,Randolph L,Bloomdale Township,MI,2018-07-30,5,Budget has consistently met my expectations. Reliable trucks at a reasonable price.,300.0,600.0,2.0,2000.0
